Product Name,Price,Brand,Image Source
Cynthia Rowley Glinted Garden Dress,$428,anthropologie.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/154220173.jpg
Sparrow Seamed Boiled Wool Dress,$148,anthropologie.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/154221224.jpg
Rachel Antonoff Eliora Dress,$378,anthropologie.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/156608960.jpg
BOUTIQUE MOSCHINO Cupcake Heavy Cotton Jersey Dress,$450,luisaviaroma.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155041486.jpg
Eliza J Marlow Gown,$228,anthropologie.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155723876.jpg
Chicwish Belted Wool Blend Dress in Army Green,$46,chicwish.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/129413893.jpg
Gap Women Tencel Pintuck Swing Dress,$70,gap.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/151930300.jpg
Gap Women Classic Fit & Flare Dress,$80,gap.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/154666834.jpg
Banjanan Oak Maxi Dress,$255,shopbop.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/155184083.jpg
J.Crew Edged lace cap-sleeve dress,$158,jcrew.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/154188084.jpg
Vintage Chanel Fleur Silk Dress,"$1,250",nastygal.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/154774837.jpg
Rachel Zoe Stella One Shoulder Gown,$795,shopbop.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/156478375.jpg
Carmen Marc Valvo Knit Striped Dress,$495,saksfifthavenue.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/156459590.jpg
Erin Fetherston Fleur Dress,$281,lordandtaylor.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/154313200.jpg
Ryder Leila Lace Dress,$212,shopbop.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/152138186.jpg
Vintage Style Ophelia Silky Green Majestic Swing Dress,$62,etsy.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/146725490.jpg
Madewell Jane Plaid Flannel Shirtdress,$98,shopbop.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155716894.jpg
Saint Laurent T-Shirt Dress,"$1,309",ysl.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/137599620.jpg
Closet Dress with Contrast Print Skirt,$58,asos.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/156573134.jpg
Closet Full Circle Skater Dress,$54,asos.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/152328985.jpg
